"マスタ商品名","セット品フラグ","商品区分","商品扱区分","航空便不可","掛率区分","商品コード","在庫数","販売予定数","販売価格","品切れ時入荷予定"
"軽量棚板　MS","1","01","1","0","65","600001","11","0","3000","入荷次第お届けします"
"軽量棚板　M","1","01","1","0","65","600002","4","0","3200","入荷次第お届けします"
"軽量棚板　L","1","01","1","0","65","600003","3","0","4200","入荷次第お届けします"
"軽量棚板 S8","1","01","1","0","65","600004","30","0","1200","入荷次第お届けします"
"軽量棚板 M半円","1","01","1","0","65","600005","3","0","2200","入荷次第お届けします"
"14ブラウン額（PAS3E）   601005","3","01","1","0","65","601005","15","0","1600","入荷次第お届けします"
"20ブラウン額（PAS100）  601007","3","01","1","0","65","601007","27","0","1650","入荷次第お届けします"
"15ブラウン正角額(PAS150)601008","3","01","1","0","65","601008","4","0","1600","入荷次第お届けします"
"20ブラウン正角額(PAS200)601009","3","01","1","0","65","601009","33","0","2050","入荷次第お届けします"
"22ブラウン額（PAS3D）   601010","3","01","1","0","65","601010","30","0","2000","入荷次第お届けします"
"11木製チーズボード","1","01","1","0","65","602001","175","0","700","入荷次第お届けします"
"ピルスナー（ガラス）","1","01","1","0","65","603001","121","0","640","入荷次第お届けします"
"タンブラー（ショート）ガラス","1","03","1","0","65","603002","0","0","530","販売終了致しました"
"タンブラー（ロング）ガラス","1","01","1","0","65","603003","212","0","390","入荷次第お届けします"
"グラス（ミニ）ガラス","1","03","1","0","65","603004","0","0","300","販売終了致しました"
"グラス（スーフル）","3","03","1","0","65","603005","0","0","220","販売終了致しました"
"グラス（ステム）ガラス","1","01","1","0","65","603006","254","0","450","入荷次第お届けします"
"14プレーンボウル（ガラス）","1","01","1","0","65","603011","140","0","440","入荷次第お届けします"
"15プレート（ガラス）","3","03","1","0","65","603012","0","0","270","販売終了致しました"
"玉飾りﾘﾑﾌﾟﾚｰﾄM","1","03","1","0","65","603016","0","0","1600","販売終了致しました"
"ﾐﾙｸびん(2個ｾｯﾄ)","1","03","1","0","65","603021","0","0","1050","販売終了致しました"
"ｶﾌｪﾀﾝﾌﾞﾗｰ","1","03","1","0","65","603022","0","0","1200","限定数終了しました"
"ｻﾝﾃﾞｰｸﾞﾗｽ","1","01","1","0","65","603023","15","0","800","限定数終了しました"
"21ｻｰﾌﾘﾑﾌﾟﾚｰﾄ","1","01","1","0","65","603024","78","0","1700","限定数終了しました"
"ﾙﾐﾅｽﾀﾝﾌﾞﾗｰﾍﾟｱｾｯﾄ","1","01","1","0","65","603025","39","0","1800","限定数終了しました"
"ｶﾞﾗｽ ﾜｲﾝｸﾞﾗｽ","1","01","1","0","65","603027","222","0","650","入荷次第お届けします"
"ｶﾞﾗｽ ｸﾘｽﾏｽﾌﾞｰﾂL","1","01","1","0","65","603028","221","0","730","限定数終了しました"
"ｶﾞﾗｽ ﾄﾞﾚｯｼｰｼｬﾝﾊﾟﾝｸﾞﾗｽ","1","01","1","0","65","603029","145","0","820","限定数終了致しました"
"ﾅｲﾛﾝ筆 ｽｸﾘﾌﾟﾄ　10/0","1","01","1","0","65","604003","57","0","420","入荷次第お届けします"
"ﾅｲﾛﾝ筆 ﾗｳﾝﾄﾞ　1","1","01","1","0","65","604004","45","0","420","入荷次第お届けします"
"ﾅｲﾛﾝ筆 ﾗｳﾝﾄﾞ3","1","01","1","0","65","604005","37","0","450","入荷次第お届けします"
"ﾅｲﾛﾝ筆 ﾗｳﾝﾄﾞ4","1","01","1","0","65","604006","39","0","490","入荷次第お届けします"
"ﾅｲﾛﾝ筆 ﾗｲﾅｰ 10/0","1","01","1","0","65","604007","62","0","390","入荷次第お届けします"
"ﾅｲﾛﾝ筆ﾗｲﾅｰ 2/0","1","01","1","0","65","604008","15","0","390","入荷次第お届けします"
"ﾅｲﾛﾝ筆 ｱﾝｷﾞｭﾗｰ 1/8","1","01","1","0","65","604009","33","0","500","入荷次第お届けします"
